name,status,type,origin_year,origin_place,views,videos,photos,comments
1848,2,33,103,1477,3233,10,8,5
1660,2,17,104,1385,7459,11,0,1
328,2,17,88,1287,4838,1,15,1
110,2,76,105,1312,710,0,0,0
2373,2,24,105,44,3687,0,4,38
3465,2,86,105,596,23457,0,5,1
2753,2,59,105,1009,2990,0,25,3
1659,2,33,100,431,3180,15,0,2
59,2,44,105,1361,2035,0,15,8
788,2,79,105,596,14441,5,2,12
2632,2,17,105,1361,34846,0,15,21
3667,2,33,97,935,357339,1,17,27
2240,2,21,105,775,37337,16,49,457
702,2,47,103,1009,1318,0,14,0
3380,2,86,105,1477,3285,0,8,18
3791,2,17,105,1361,4692,0,11,23
1608,2,17,101,1390,2418,0,2,1
324,2,59,105,1009,26619,4,81,69
1142,2,86,105,1312,758,0,0,3
1569,2,86,104,1477,1249,6,0,2
2017,2,58,105,1361,2113,0,11,4
1589,2,75,100,1361,12941,0,14,2
789,2,33,105,1385,4200,0,13,1
102,2,44,105,1361,3109,0,10,2
303,2,85,105,1361,128310,11,41,382
2687,2,47,98,463,2464,2,2,10
539,2,74,105,1361,24681,0,13,8
1270,2,47,99,1350,3576,0,21,11
3539,2,47,104,1537,22936,0,27,3
2826,2,47,104,1385,41996,0,38,9
3813,2,32,96,1361,31282,0,4,8
525,2,42,96,787,15300,7,0,1
156,2,47,104,1385,13475,0,12,61
2528,2,79,104,1477,1358,0,0,1
2364,2,78,101,1318,9228,0,1,2
3211,2,86,105,1477,5480,6,1,4
149,2,6,105,753,6841,25,3,21
1231,2,33,102,377,8512,1,13,15
2215,2,61,105,596,790,0,12,0
772,2,18,105,44,14565,1,11,68
1305,2,47,101,1477,2722,0,12,1
646,2,47,105,1009,5122,0,10,5
2503,2,79,104,431,7651,0,26,11
2734,2,34,102,595,9011,0,8,80
611,2,17,105,43,1305,0,1,0
3077,2,69,99,1212,5042,1,13,12
89,2,58,105,1312,697,0,0,1
1607,2,74,96,1385,768,0,3,1
2199,2,79,104,1312,5090,0,0,1
1904,2,20,91,1075,1526,0,1,4
787,2,61,106,1385,960,0,3,0
589,2,33,103,431,6465,0,13,9
510,2,55,91,925,163,0,0,0
790,2,19,105,1361,6084,0,7,7
3737,2,47,97,1019,20388,0,27,16
922,2,84,102,218,732,3,19,0
1741,2,32,105,1361,1509,0,5,1
2280,2,79,105,1312,5077,0,0,9
273,2,33,85,95,1239,0,18,0
1361,2,47,105,1123,1882,0,12,4
2358,2,2,93,1385,5412,0,36,7
1031,2,84,99,350,286,0,1,1
244,2,89,104,596,998,0,0,1
2086,2,35,98,1350,2374,0,7,9
1746,2,47,105,596,3770,0,16,1
504,2,84,105,300,6130,0,8,20
3524,2,42,105,1416,13005,0,59,6
2160,2,84,97,1205,2443,3,9,5
1670,2,47,97,494,569,0,11,1
842,2,86,105,312,1543,4,9,0
455,2,47,105,1361,1472,1,14,2
1916,2,33,101,1350,1379,0,10,2
439,2,27,105,1361,2505,0,12,8
2377,2,84,100,840,988,0,2,1
1901,2,3,105,728,5440,10,15,2
2329,2,18,105,921,7428,1,13,92
2445,2,47,105,1009,21574,0,20,28
1740,2,4,105,1527,3478,0,11,9
3119,2,17,84,289,5555,0,14,10
1669,2,79,105,1312,12024,0,4,16
382,2,33,105,1009,10041,0,15,22
414,2,33,104,1130,14200,11,39,28
2881,2,47,103,1009,2742,0,10,5
457,2,47,105,1361,4609,0,12,13
3556,2,17,102,1361,3088,0,11,3
2920,2,33,106,1385,8901,1,13,10
3294,2,42,104,956,6301,0,16,1
1088,2,86,105,1361,1276,0,10,1
1932,2,17,87,741,24904,0,3,26
3241,2,18,104,1383,12158,0,11,14
265,2,34,105,1361,7968,2,26,23
983,2,69,105,1312,24655,1,8,26
2940,2,75,103,1537,10513,1,30,9
2471,2,27,104,1537,93244,26,75,53
2398,2,58,105,1312,1422,0,0,1
1146,2,82,104,893,20870,30,65,60
190,2,47,104,431,3595,0,14,2
1376,2,47,98,1350,1356,0,13,1
392,2,65,100,600,3372,0,12,13
2411,2,58,105,1312,3836,0,0,12
34,2,3,104,1188,320,0,2,0
2269,2,17,104,650,2203,0,11,9
1728,2,17,105,195,2547,0,12,2
1450,2,33,105,1009,4543,0,13,12
2601,2,4,105,1009,2465,0,13,8
1553,2,33,104,1361,14398,0,13,3
2610,2,79,105,998,1317,0,0,1
832,2,86,105,1477,67404,1,2,32
2982,2,4,105,1361,2777,0,11,11
1918,2,18,104,1528,779,0,0,0
1602,2,33,104,423,2062,0,14,3
3518,2,33,101,1361,28572,0,17,5
521,2,59,98,1477,2709,0,0,5
1605,2,47,100,647,5193,0,13,6
1683,2,47,104,1477,6806,0,12,4
635,2,17,103,431,12726,0,33,11
278,2,69,90,1145,7495,1,36,8
2339,2,47,96,1361,1967,0,12,1
3805,2,73,104,694,5097,3,3,57
3691,2,86,105,1361,9438,0,2,11
954,2,17,103,190,966,0,0,0
1056,2,47,99,1361,16183,0,14,10
3218,2,69,89,1286,1775,1,18,0
2661,2,47,103,1009,4343,0,13,1
2382,2,30,104,1312,1268,0,0,0
2222,2,33,104,1361,6154,1,17,12
1688,2,61,105,1361,1909,0,10,0
1320,2,17,103,1350,15040,0,96,4
3541,2,17,103,143,25933,1,15,0
1473,2,17,101,431,2788,0,14,2
1094,2,61,100,1361,3119,0,11,7
1876,2,35,105,314,1191,0,7,1
282,2,47,97,282,13324,0,14,4
932,2,17,105,596,228108,2,102,85
1793,2,8,94,459,10050,0,88,6
2416,2,52,90,1543,681,0,13,1
2756,2,64,105,1361,659,0,0,0
405,2,84,83,176,4047,2,12,15
1309,2,47,104,1361,8584,0,16,24
1891,2,41,77,239,843,0,0,1
874,2,47,88,253,6788,0,15,3
3229,2,30,94,911,3717,0,0,0
2322,2,47,104,1094,2516,0,13,10
3670,2,74,106,1385,1974,0,7,0
1621,2,17,101,1477,8132,2,10,11
55,2,44,105,1361,9566,1,12,7
1855,2,79,105,1477,23376,0,12,21
884,2,17,106,1385,6951,0,18,27
2415,2,27,104,1009,4672,0,5,14
3638,2,47,91,1477,1511,2,11,4
3065,2,33,104,596,4249,0,12,22
1940,2,89,103,1000,2565,0,3,7
456,2,47,104,1361,6573,0,13,32
2962,2,58,105,1136,1014,0,12,1
1364,2,18,98,976,951,0,146,4
3029,2,17,105,1361,2456,0,12,1
512,2,2,105,822,3462,0,11,48
3621,2,86,97,391,13578,0,0,3
3477,2,47,93,1242,4874,0,20,1
1193,2,65,105,1477,5199,0,14,12
1173,2,75,105,1350,36051,0,99,22
1762,2,58,105,1312,298,0,0,0
3662,2,18,104,1526,980,0,0,0
863,2,4,105,1437,116,0,0,0
2930,2,64,102,1361,110,0,0,0
762,2,17,105,1254,180,0,0,0
79,2,44,104,1477,838,0,0,0
1047,2,47,104,596,1986,0,12,2
1570,2,17,105,1361,144,0,0,0
953,2,17,103,1009,2966,0,15,4
3579,2,47,104,142,2605,0,31,1
1,2,11,102,1361,4227,0,11,11
639,2,30,105,1312,779,0,0,1
2112,2,69,105,1009,22943,0,17,4
348,2,17,89,68,1160,0,5,13
3436,2,17,105,337,7580,0,13,50
1196,2,18,105,1477,4804,0,10,2
1005,2,4,95,842,5315,2,9,2
2701,2,72,105,431,3058,5,0,2
3716,2,47,105,831,1124,0,14,3
300,2,17,100,1385,3590,0,16,26
159,2,75,104,1361,633,5,1,0
1201,2,84,102,1374,15776,2,44,8
1038,2,4,105,431,1291,2,0,4
774,2,79,104,1564,969,0,0,0
1576,2,17,33,909,7248,1,18,15
1601,2,47,101,531,5117,0,13,20
1395,2,47,103,1009,12264,0,11,0
3026,2,18,103,1477,10208,0,14,14
1111,2,33,104,1268,4281,14,15,3
1577,2,47,105,1110,6538,0,13,6
23,2,0,87,234,3055,0,0,23
1415,2,17,90,1149,2092,1,82,1
1970,2,37,104,1208,2907,0,13,16
2271,2,17,105,1361,1258,0,11,1
65,2,44,105,1361,6372,0,11,11
1730,2,47,105,1477,12720,1,13,9
2137,2,33,100,1477,3012,6,14,14
1317,2,16,105,877,17399,0,51,36
471,2,27,96,540,15974,17,9,57
3247,2,55,96,1334,142,0,0,0
2770,2,18,105,442,7453,0,49,16
3671,2,41,99,1180,3834,0,47,15
2842,2,82,100,667,131,0,0,0
2607,2,18,89,1182,12402,12,19,25
2151,2,85,104,1361,28000,5,16,43
3451,2,33,94,1387,5087,1,9,4
3732,2,86,105,1312,3655,0,0,5
1311,2,47,103,839,3712,0,14,12
2095,2,61,105,1361,11790,0,20,118
1806,2,33,105,1364,1354,0,7,1
2706,2,4,98,431,1090,0,10,1
1866,2,47,92,712,1495,0,14,1
2849,2,73,105,1312,27465,0,2,44
962,2,33,104,423,40780,0,16,25
2822,2,47,101,1090,1371,0,15,0
687,2,86,105,696,9891,0,8,4
1368,2,47,105,1009,3431,0,10,2
3038,2,17,100,1406,22977,7,6,3
322,2,34,105,1361,26793,0,35,177
2495,2,86,104,1477,7684,0,8,6
2021,2,21,105,775,256,0,0,0
1690,2,30,105,1312,399,0,0,0
1077,2,35,105,691,5656,6,62,5
2477,2,4,104,431,1440,0,3,12
1937,2,40,101,431,1289,0,13,1
2804,2,47,103,1361,9627,0,15,5
960,2,33,105,596,2891,7,0,3
2259,2,27,105,1361,19790,0,14,56
1199,2,58,104,431,20728,3,34,22
63,2,44,104,1363,142,0,0,0
3438,2,37,104,662,2749,2,6,8
2289,2,33,97,430,18907,8,19,2
3543,2,47,105,1537,915,0,14,3
224,2,30,105,1312,1378,0,0,2
1945,2,82,105,877,1240,0,3,4
277,2,73,100,345,23004,0,14,112
197,2,22,97,319,259,0,2,2
383,2,47,98,431,500,0,8,1
3469,2,69,95,342,3578,0,15,0
1010,2,17,87,1251,10897,4,3,21
253,2,47,104,259,808,0,13,0
776,2,84,91,622,1175,0,4,6
2998,2,86,105,373,18111,0,9,4
1053,2,47,103,1361,4311,0,20,3
387,2,34,104,127,2810,0,12,6
298,2,33,104,1361,19958,0,24,20
2354,2,34,105,1350,17437,8,61,6
1216,2,86,104,1009,1546,0,1,6
3053,2,74,99,427,2503,1,12,2
1482,2,86,105,1361,2729,0,9,3
174,2,33,104,596,10115,0,13,15
2633,2,69,99,118,721,0,1,0
1115,2,84,97,162,1020,2,2,1
306,2,33,100,1350,20296,27,32,141
1963,2,64,105,431,8242,0,11,27
1735,2,69,105,1361,4918,0,0,1
956,2,47,105,1361,19515,0,28,18
751,2,33,105,691,21712,1,29,13
3512,2,4,104,1537,3071,4,3,9
574,2,17,105,1361,5298,0,5,1
2910,2,17,102,90,302,0,0,0
155,2,69,105,1075,207,0,0,0
2712,2,76,105,1361,1132,0,3,0
2510,2,6,105,1284,2969,0,4,7
3730,2,47,104,657,12848,2,42,10
1666,2,85,105,1312,19241,0,8,32
714,2,88,98,511,1095,0,0,1
2741,2,32,98,1361,2382,0,13,2
2786,2,59,105,1181,233,0,0,0
1634,2,18,104,1312,81640,0,6,8
1159,2,37,105,129,7471,0,0,60
3296,2,44,103,1361,1996,0,0,0
1972,2,47,103,1477,37270,0,13,11
445,2,44,105,1361,719,0,10,0
52,2,44,104,1361,11328,1,11,132
3293,2,33,105,1009,37642,0,20,6
700,1,86,95,1477,247,0,0,1
2435,2,17,101,1361,887,0,4,1
2996,2,47,104,1056,2533,0,14,3
1175,2,47,102,1477,12966,0,14,1
1079,2,90,104,1314,2296,0,6,0
1297,2,47,98,1292,7072,0,14,5
2544,2,27,77,158,4933,0,12,34
226,2,85,105,1361,68413,1,0,31
3711,2,59,104,1385,162,0,0,0
2066,2,58,102,1477,5796,6,0,7
1875,2,69,103,1525,1563,0,15,2
1507,2,47,97,899,1114,0,13,4
1773,2,65,105,1361,2926,0,9,11
2516,2,64,105,1361,1899,0,12,5
218,2,47,98,1193,3819,0,15,15
1933,2,17,103,1009,2362,1,21,1
3493,2,18,92,622,2185,0,6,8
3516,2,18,10,511,3867,0,31,15
3733,2,47,105,1477,2613,0,12,0
2214,2,14,98,622,1748,1,19,10
973,2,17,104,1312,41829,2,0,4
1807,2,33,103,431,7544,0,17,14
2989,2,86,105,1312,49395,0,0,63
1637,2,47,102,1350,21144,0,12,7
3724,2,79,105,1477,3013,0,6,2
3545,2,69,91,1219,2012,5,3,2
2300,2,69,104,1477,13889,13,4,3
485,2,47,105,1312,916,2,6,0
2576,2,8,93,239,15816,1,8,33
695,2,17,98,1248,4233,1,18,3
2413,2,37,104,204,7442,8,16,44
2177,2,86,104,431,13613,0,7,8
2019,2,69,92,236,13973,0,17,8
3565,2,47,104,1156,5339,0,12,7
3750,2,58,104,1312,2249,0,0,0
756,2,59,104,431,5662,0,16,33
3016,2,69,98,119,1357,0,14,1
1941,2,58,104,171,1852,0,3,3
1236,2,75,102,596,11473,0,22,7
3371,2,86,104,1361,2466,0,15,2
3309,2,4,98,1406,13580,9,10,5
1568,2,17,103,1009,7630,0,10,4
3081,2,86,104,1312,4507,0,2,13
531,2,74,106,618,23173,0,14,6
3481,2,29,104,1393,282391,0,14,123
3289,2,86,104,1361,23610,0,12,85
1221,2,33,104,596,16284,17,0,15
733,2,18,104,1312,19081,0,2,6
1119,2,47,104,1009,1560,0,15,4
985,2,86,101,1361,2429,0,0,5
2113,2,33,104,1361,11173,0,19,6
434,2,5,101,941,11987,1,28,73
855,2,33,104,1200,7594,3,9,2
725,2,4,104,1361,739,0,9,0
860,2,86,104,596,4410,2,3,4
3117,2,58,104,1361,9461,0,0,1
2475,2,18,100,1361,8586,0,13,16
1789,2,17,104,1477,35875,0,7,46
1878,2,17,97,736,2298,0,2,1
1843,2,18,91,972,3518,0,7,5
390,2,33,104,648,4552,0,15,1
1827,2,69,103,587,2057,0,11,2
861,2,86,104,1312,10805,0,0,4
3723,2,58,104,1477,5655,0,0,15
2560,2,84,104,1023,3470,0,0,21
2331,2,33,104,1009,6166,0,17,44
2714,2,33,104,1361,26121,17,1,1
2559,2,47,104,1140,9725,0,12,1
1350,2,6,104,1310,27764,0,13,9
1145,2,86,104,1361,23636,2,3,13
1238,2,75,104,1009,5009,0,24,10
879,2,58,103,431,6932,6,0,2
245,2,33,104,1477,15725,0,21,2
995,2,47,104,1361,17020,0,7,116
3510,2,30,104,1312,4509,0,0,3
327,2,33,104,1115,23251,0,22,11
1846,2,86,104,1477,22261,1,2,6
683,2,18,81,977,17682,0,16,38
1343,2,58,97,1350,37217,0,38,16
676,2,18,104,1504,183,0,0,0
2899,2,27,104,1361,2796,0,10,18
2184,2,75,104,1361,1631,0,11,7
2662,2,47,104,1361,3707,0,11,2
1151,2,18,81,977,7777,0,14,14
1591,2,86,104,1312,1209,0,3,1
1816,2,47,104,1361,7698,0,12,5
1578,2,33,103,431,12642,0,8,15
2702,2,33,103,1128,7481,1,114,2
1792,2,86,104,64,1394,0,0,0
54,2,44,104,1361,1366,0,13,3
2656,2,85,104,1361,887,0,13,2
1253,2,84,103,1477,154,0,0,1
811,2,69,98,646,7308,0,26,5
588,2,33,104,1477,15930,0,18,17
262,2,34,104,1361,20237,1,118,57
3239,2,72,104,1477,28944,2,1,195
2117,2,86,104,1361,17576,3,24,27
1755,2,33,104,1537,57540,3,19,11
1000,2,58,104,1358,4773,0,11,11
3492,2,17,93,1503,9345,0,7,34
453,2,18,104,451,9383,0,31,43
2365,2,37,105,967,6428,2,4,52
3687,2,72,104,1312,9926,2,0,5
1968,2,86,104,755,10063,0,3,5
3508,2,33,104,1312,5165,0,0,1
1753,2,33,101,732,8671,0,27,1
2016,2,88,93,768,2190,6,1,8
502,2,11,104,1361,9140,0,8,4
3593,2,74,98,722,2532,0,10,2
1349,2,33,99,1361,25391,0,12,14
3013,2,86,104,1312,4479,0,3,2
1189,2,47,104,1011,207,0,0,0
1240,2,74,106,1385,14749,0,3,1
1496,2,17,106,1385,2435,0,13,2
3068,2,27,104,1361,1392,0,11,6
461,2,86,104,596,8554,1,0,15
1417,2,84,103,1088,13756,0,5,241
2587,2,40,98,1009,1048,0,12,0
555,2,18,104,13,9389,0,10,4
1424,2,33,104,1361,4998,0,30,3
1212,2,79,55,295,3768,1,0,12
2854,2,11,98,1361,4725,0,7,18
2775,2,65,104,103,1763,0,4,2
482,2,33,100,1066,4743,0,0,2
1165,2,47,104,1361,5293,0,12,6
1540,2,47,104,1477,6106,1,13,2
1713,2,79,93,1369,904,0,0,3
1868,2,91,101,91,2281,0,2,12
2321,2,47,102,1547,32304,0,9,1
3584,2,17,103,1361,3053,0,14,0
1745,2,47,104,1445,28216,0,12,11
3101,2,59,104,431,12159,0,12,27
2785,2,86,104,1361,10939,0,0,1
2840,2,18,104,980,21531,2,61,45
3394,2,47,101,1361,438,0,0,0
1054,2,84,97,576,4322,2,152,37
666,2,76,104,1366,979,8,0,0
2448,2,47,104,1361,73586,0,27,12
825,2,2,104,596,39140,0,14,27
3800,2,41,104,1361,2720,0,6,4
3194,2,82,104,747,1182,5,10,7
2768,2,47,104,1260,392,0,0,0
1464,2,18,102,1541,390,0,4,0
3201,2,86,98,1393,7399,0,2,10
3660,2,6,95,1060,2942,0,5,1
242,2,37,94,952,4191,1,3,1
3415,2,27,100,1358,8229,0,0,23
2830,2,86,103,1477,2762,1,3,4
3091,2,37,105,1315,1776,1,0,4
2447,2,3,104,1361,8719,1,8,2
2134,2,47,97,1292,14340,0,18,6
2975,2,33,84,1130,18085,0,36,16
2638,2,40,102,462,18815,1,34,251
2079,2,33,104,1009,11437,0,25,19
1280,2,17,102,1477,12976,0,10,26
532,2,89,97,202,2519,6,4,3
2748,2,47,104,1361,185700,0,35,5
2178,2,18,104,431,17961,0,18,6
3669,2,47,104,1361,4505,4,5,3
2575,2,47,104,1297,9863,2,14,12
2034,2,86,104,1313,3862,6,9,3
2237,2,76,104,596,14911,6,0,4
1491,2,47,102,1327,32206,0,16,136
1186,2,86,104,1361,3328,0,0,2
3200,2,17,98,886,19476,0,12,3
3387,2,33,104,1347,10414,0,12,11
3754,2,17,93,269,8315,0,1,16
173,2,32,103,472,19527,0,4,7
3422,2,33,104,1312,1404,0,0,5
1787,2,17,104,877,7286,0,5,3
3668,2,34,104,596,2296,0,10,12
1411,2,17,100,305,7426,0,15,6
257,2,18,104,977,13739,0,34,25
3511,2,64,104,1312,4888,0,0,7
2664,2,33,104,877,38636,0,20,4
2053,2,9,91,1382,3147,0,2,12
2313,2,74,93,1361,3734,0,14,0
2640,2,72,99,157,5192,8,0,7
941,2,47,104,431,4446,0,15,1
1585,2,58,102,1312,13826,0,0,2
237,2,18,104,877,14162,1,10,11
3459,2,18,104,1394,151787,0,36,7
2599,2,58,103,1009,5701,0,22,5
2340,2,47,103,1009,41589,7,7,16
1442,2,17,84,1133,4125,0,11,2
2613,2,70,92,275,9406,1,1,145
447,2,65,104,168,107944,4,42,125
1976,2,22,39,554,6024,0,2,35
3106,2,86,104,1477,9562,0,0,11
1527,2,69,95,172,17524,0,15,23
3460,2,64,104,108,9583,1,14,16
219,2,79,104,1312,3260,0,0,4
3751,2,17,98,375,16632,0,9,3
1651,2,59,104,596,3151,0,0,1
2317,2,33,102,1233,25545,0,22,6
1662,1,17,103,1477,1105,1,1,0
1971,2,33,97,610,11188,0,15,1
1619,2,33,104,599,2421,0,19,2
1955,2,64,104,64,3275,0,8,1
2286,2,61,101,10,14525,0,11,8
978,2,17,104,1361,109800,0,13,2
235,2,69,104,1454,8366,0,10,15
2103,2,79,104,826,8027,0,8,32
1766,2,17,104,1361,221271,1,35,21
3266,2,4,100,1009,22577,0,15,12
3368,2,33,104,679,19667,0,23,3
1259,2,58,103,1537,30694,0,19,73
911,2,84,83,1409,162,0,0,0
208,2,0,85,1367,606,0,0,1
1336,2,33,104,1477,28288,10,0,1
3810,2,12,93,1009,342,0,20,0
400,2,19,104,1312,1053,0,0,2
2288,2,47,104,1361,66979,7,20,18
1784,2,33,104,1361,10132,8,1,8
757,2,58,104,1385,20679,1,19,37
2467,2,61,104,1009,17318,0,11,8
3425,2,59,104,1009,128623,0,10,18
548,0,59,104,596,75217,24,6,22
658,2,33,104,1477,10593,12,0,2
299,2,58,104,1009,13866,0,21,6
3431,2,17,104,1111,4318,0,0,1
2630,2,17,103,1537,13680,0,16,85
467,2,59,104,1361,3447,0,9,1
2054,2,69,104,1373,7297,0,10,3
122,2,58,104,1361,20056,0,9,16
243,2,22,104,1083,2498,1,0,4
897,2,19,104,1312,1402,0,0,2
1136,2,78,103,431,2203,0,0,31
3333,2,84,104,1374,242,0,0,0
2511,2,84,104,329,25189,0,47,48
2253,2,33,101,220,80178,0,15,12
1087,2,75,104,1361,2073,0,13,2
3105,2,33,104,596,3742,8,0,3
1915,2,79,103,735,9321,1,13,0
2008,2,0,106,1385,9743,4,51,32
2647,2,18,104,596,74741,3,8,48
899,2,6,104,1385,139227,0,7,71
58,2,18,104,1312,1516,0,0,3
726,2,86,101,1174,4739,0,10,4
2614,2,78,92,247,4129,0,4,66
187,2,12,99,1361,11688,0,17,35
2749,2,33,104,1361,14707,0,13,9
1935,2,17,104,1370,37721,1,17,131
3447,2,33,104,1009,23184,0,24,10
3267,2,17,104,1009,14425,0,13,8
990,2,64,104,1361,4235,0,6,51
1097,2,47,104,1361,6946,0,14,13
2569,2,33,104,1009,2343,0,13,0
1785,1,18,104,1009,377,0,4,0
928,2,22,94,825,2722,3,0,10
3553,2,32,103,1358,38730,0,4,1
3501,2,74,100,44,24216,6,22,38
771,2,18,104,596,1556,0,8,3
2941,2,61,104,1361,41125,0,13,25
394,2,33,99,1406,21486,13,2,16
234,2,33,102,1477,23988,13,0,8
207,1,17,104,1220,1029,0,0,0
2790,2,18,104,394,171,0,0,0
61,2,44,104,1361,623,2,12,1
2858,2,18,102,1361,6479,0,12,7
645,2,47,104,1009,4127,0,14,9
3027,2,69,104,1361,10352,0,2,4
3305,2,33,104,345,42601,0,25,4
1813,2,37,81,632,14199,0,12,15
